ticker,simfinid,currency,fiscal_year,fiscal_period,report_date,publish_date,restated_date,shares_basic,revenue,net_extraordinary_gains_losses
ABCB,919504,USD,2017,Q1,2017-03-31,2017-05-10,2018-05-10,35664000,86296000,21153000
ABTX,953887,USD,2017,Q1,2017-03-31,2017-05-05,2018-05-08,13021000,25469000,6047000
AJX,90767,USD,2017,Q1,2017-03-31,2017-05-03,2018-05-02,17976710,13667000,
ALTA,363174,USD,2017,Q1,2017-03-31,2017-05-09,2018-05-11,17884026,21917000,6521000
ARI,498489,USD,2017,Q1,2017-03-31,2017-05-02,2018-05-02,91612447,57920000,
AXP,413080,USD,2017,Q1,2017-03-31,2017-04-27,2017-04-27,899000000,7889000000,1237000000
BAC,71941,USD,2017,Q1,2017-03-31,2017-05-02,2017-05-02,10099557000,22248000000,4354000000
BK,467599,USD,2017,Q1,2017-03-31,2017-05-08,2018-05-08,1041158000,3843000000,880000000
BKU,815914,USD,2019,Q1,2019-03-31,2019-05-07,2020-05-08,97684854,227156000,65972000
BNCL,748225,USD,2018,Q3,2018-09-30,2018-11-07,2018-11-07,71014960,54838000,12390000
BOH,998597,USD,2017,Q1,2017-03-31,2017-04-24,2018-04-23,42406006,165788000,51176000
BOKF,344670,USD,2018,Q4,2018-12-31,2019-03-01,2021-02-24,97684854,21917000,65972000
,,,,,,,,,,